Model,Model_Code,Run,ECE_Run,bin_idx,bin_lower,bin_upper,bin_size,bin_acc,bin_conf,calibration_gap
UNet++,unet_plusplus,Run 1 (seed=42),0.2743466029166667,1,0.0,0.1,0,0.0,0.05,0.0
UNet++,unet_plusplus,Run 1 (seed=42),0.2743466029166667,2,0.1,0.2,0,0.0,0.15000000000000002,0.0
UNet++,unet_plusplus,Run 1 (seed=42),0.2743466029166667,3,0.2,0.30000000000000004,7,0.42857142857142855,0.2679554828571428,0.16061594571428572
UNet++,unet_plusplus,Run 1 (seed=42),0.2743466029166667,4,0.30000000000000004,0.4,4,0.75,0.33945125249999997,0.41054874750000003
UNet++,unet_plusplus,Run 1 (seed=42),0.2743466029166667,5,0.4,0.5,2,1.0,0.458328725,0.541671275
UNet++,unet_plusplus,Run 1 (seed=42),0.2743466029166667,6,0.5,0.6000000000000001,1,1.0,0.5935053,0.4064947
UNet++,unet_plusplus,Run 1 (seed=42),0.2743466029166667,7,0.6000000000000001,0.7000000000000001,2,1.0,0.63798153,0.36201847
UNet++,unet_plusplus,Run 1 (seed=42),0.2743466029166667,8,0.7000000000000001,0.8,5,1.0,0.780491226,0.21950877400000002
UNet++,unet_plusplus,Run 1 (seed=42),0.2743466029166667,9,0.8,0.9,3,1.0,0.8312020666666667,0.16879793333333326
UNet++,unet_plusplus,Run 1 (seed=42),0.2743466029166667,10,0.9,1.0,0,0.0,0.95,0.0
UNet++,unet_plusplus,Run 2 (seed=123),0.254097265,1,0.0,0.1,0,0.0,0.05,0.0
UNet++,unet_plusplus,Run 2 (seed=123),0.254097265,2,0.1,0.2,1,1.0,0.12217675,0.87782325
UNet++,unet_plusplus,Run 2 (seed=123),0.254097265,3,0.2,0.30000000000000004,7,0.42857142857142855,0.23458692142857143,0.19398450714285712
UNet++,unet_plusplus,Run 2 (seed=123),0.254097265,4,0.30000000000000004,0.4,2,0.5,0.38108832000000004,0.11891167999999996
UNet++,unet_plusplus,Run 2 (seed=123),0.254097265,5,0.4,0.5,2,1.0,0.47371430999999997,0.52628569
UNet++,unet_plusplus,Run 2 (seed=123),0.254097265,6,0.5,0.6000000000000001,1,1.0,0.5155047,0.48449529999999996
UNet++,unet_plusplus,Run 2 (seed=123),0.254097265,7,0.6000000000000001,0.7000000000000001,3,1.0,0.6563817866666666,0.3436182133333334
UNet++,unet_plusplus,Run 2 (seed=123),0.254097265,8,0.7000000000000001,0.8,1,1.0,0.7923082,0.20769179999999998
UNet++,unet_plusplus,Run 2 (seed=123),0.254097265,9,0.8,0.9,5,1.0,0.858206984,0.14179301600000005
UNet++,unet_plusplus,Run 2 (seed=123),0.254097265,10,0.9,1.0,2,1.0,0.929891,0.07010899999999998
UNet++,unet_plusplus,Run 3 (seed=456),0.29632794166666665,1,0.0,0.1,0,0.0,0.05,0.0
UNet++,unet_plusplus,Run 3 (seed=456),0.29632794166666665,2,0.1,0.2,0,0.0,0.15000000000000002,0.0
UNet++,unet_plusplus,Run 3 (seed=456),0.29632794166666665,3,0.2,0.30000000000000004,8,0.5,0.25005963249999996,0.24994036750000004
UNet++,unet_plusplus,Run 3 (seed=456),0.29632794166666665,4,0.30000000000000004,0.4,3,0.6666666666666666,0.3686314766666667,0.29803518999999995
UNet++,unet_plusplus,Run 3 (seed=456),0.29632794166666665,5,0.4,0.5,2,1.0,0.425637035,0.574362965
UNet++,unet_plusplus,Run 3 (seed=456),0.29632794166666665,6,0.5,0.6000000000000001,3,1.0,0.56912995,0.43087005
UNet++,unet_plusplus,Run 3 (seed=456),0.29632794166666665,7,0.6000000000000001,0.7000000000000001,2,1.0,0.6387702,0.36122980000000005
UNet++,unet_plusplus,Run 3 (seed=456),0.29632794166666665,8,0.7000000000000001,0.8,3,1.0,0.7767982633333332,0.22320173666666676
UNet++,unet_plusplus,Run 3 (seed=456),0.29632794166666665,9,0.8,0.9,1,1.0,0.80647004,0.19352996
UNet++,unet_plusplus,Run 3 (seed=456),0.29632794166666665,10,0.9,1.0,2,1.0,0.90434438,0.09565562000000005
DenseNet121,densenet121,Run 1 (seed=42),0.2828334816666666,1,0.0,0.1,0,0.0,0.05,0.0
DenseNet121,densenet121,Run 1 (seed=42),0.2828334816666666,2,0.1,0.2,0,0.0,0.15000000000000002,0.0
DenseNet121,densenet121,Run 1 (seed=42),0.2828334816666666,3,0.2,0.30000000000000004,0,0.0,0.25,0.0
DenseNet121,densenet121,Run 1 (seed=42),0.2828334816666666,4,0.30000000000000004,0.4,4,0.5,0.372666325,0.12733367499999998
DenseNet121,densenet121,Run 1 (seed=42),0.2828334816666666,5,0.4,0.5,9,0.6666666666666666,0.4419626677777778,0.2247039988888888
DenseNet121,densenet121,Run 1 (seed=42),0.2828334816666666,6,0.5,0.6000000000000001,4,1.0,0.55944484,0.44055515999999995
DenseNet121,densenet121,Run 1 (seed=42),0.2828334816666666,7,0.6000000000000001,0.7000000000000001,6,1.0,0.634035055,0.365964945
DenseNet121,densenet121,Run 1 (seed=42),0.2828334816666666,8,0.7000000000000001,0.8,1,1.0,0.70167744,0.29832256
DenseNet121,densenet121,Run 1 (seed=42),0.2828334816666666,9,0.8,0.9,0,0.0,0.8500000000000001,0.0
DenseNet121,densenet121,Run 1 (seed=42),0.2828334816666666,10,0.9,1.0,0,0.0,0.95,0.0
DenseNet121,densenet121,Run 2 (seed=123),0.25414491916666665,1,0.0,0.1,0,0.0,0.05,0.0
DenseNet121,densenet121,Run 2 (seed=123),0.25414491916666665,2,0.1,0.2,0,0.0,0.15000000000000002,0.0
DenseNet121,densenet121,Run 2 (seed=123),0.25414491916666665,3,0.2,0.30000000000000004,6,0.5,0.25172633833333335,0.24827366166666665
DenseNet121,densenet121,Run 2 (seed=123),0.25414491916666665,4,0.30000000000000004,0.4,3,0.6666666666666666,0.34930628999999996,0.31736037666666667
DenseNet121,densenet121,Run 2 (seed=123),0.25414491916666665,5,0.4,0.5,2,1.0,0.469834445,0.530165555
DenseNet121,densenet121,Run 2 (seed=123),0.25414491916666665,6,0.5,0.6000000000000001,2,0.5,0.54024625,0.04024625000000004
DenseNet121,densenet121,Run 2 (seed=123),0.25414491916666665,7,0.6000000000000001,0.7000000000000001,2,1.0,0.6676447,0.3323553
DenseNet121,densenet121,Run 2 (seed=123),0.25414491916666665,8,0.7000000000000001,0.8,5,1.0,0.7497944000000001,0.2502055999999999
DenseNet121,densenet121,Run 2 (seed=123),0.25414491916666665,9,0.8,0.9,4,1.0,0.8497018125,0.1502981875
DenseNet121,densenet121,Run 2 (seed=123),0.25414491916666665,10,0.9,1.0,0,0.0,0.95,0.0
DenseNet121,densenet121,Run 3 (seed=456),0.28288957374999996,1,0.0,0.1,0,0.0,0.05,0.0
DenseNet121,densenet121,Run 3 (seed=456),0.28288957374999996,2,0.1,0.2,5,0.4,0.169937992,0.230062008
DenseNet121,densenet121,Run 3 (seed=456),0.28288957374999996,3,0.2,0.30000000000000004,4,0.75,0.24954643750000002,0.5004535625
DenseNet121,densenet121,Run 3 (seed=456),0.28288957374999996,4,0.30000000000000004,0.4,2,1.0,0.383810875,0.616189125
DenseNet121,densenet121,Run 3 (seed=456),0.28288957374999996,5,0.4,0.5,2,0.5,0.46392385999999997,0.036076140000000034
DenseNet121,densenet121,Run 3 (seed=456),0.28288957374999996,6,0.5,0.6000000000000001,1,1.0,0.5751449,0.42485510000000004
DenseNet121,densenet121,Run 3 (seed=456),0.28288957374999996,7,0.6000000000000001,0.7000000000000001,0,0.0,0.6500000000000001,0.0
DenseNet121,densenet121,Run 3 (seed=456),0.28288957374999996,8,0.7000000000000001,0.8,4,1.0,0.742846715,0.257153285
DenseNet121,densenet121,Run 3 (seed=456),0.28288957374999996,9,0.8,0.9,6,1.0,0.8534622150000001,0.14653778499999992
DenseNet121,densenet121,Run 3 (seed=456),0.28288957374999996,10,0.9,1.0,0,0.0,0.95,0.0
EfficientNet-B0,efficientnet_b0,Run 1 (seed=42),0.42914627749999995,1,0.0,0.1,0,0.0,0.05,0.0
EfficientNet-B0,efficientnet_b0,Run 1 (seed=42),0.42914627749999995,2,0.1,0.2,0,0.0,0.15000000000000002,0.0
EfficientNet-B0,efficientnet_b0,Run 1 (seed=42),0.42914627749999995,3,0.2,0.30000000000000004,12,0.5833333333333334,0.24574162583333334,0.3375917075
EfficientNet-B0,efficientnet_b0,Run 1 (seed=42),0.42914627749999995,4,0.30000000000000004,0.4,3,1.0,0.3419906,0.6580094000000001
EfficientNet-B0,efficientnet_b0,Run 1 (seed=42),0.42914627749999995,5,0.4,0.5,4,1.0,0.4602880425,0.5397119575
EfficientNet-B0,efficientnet_b0,Run 1 (seed=42),0.42914627749999995,6,0.5,0.6000000000000001,4,1.0,0.5709039525,0.42909604749999997
EfficientNet-B0,efficientnet_b0,Run 1 (seed=42),0.42914627749999995,7,0.6000000000000001,0.7000000000000001,1,1.0,0.60085005,0.39914995
EfficientNet-B0,efficientnet_b0,Run 1 (seed=42),0.42914627749999995,8,0.7000000000000001,0.8,0,0.0,0.75,0.0
EfficientNet-B0,efficientnet_b0,Run 1 (seed=42),0.42914627749999995,9,0.8,0.9,0,0.0,0.8500000000000001,0.0
EfficientNet-B0,efficientnet_b0,Run 1 (seed=42),0.42914627749999995,10,0.9,1.0,0,0.0,0.95,0.0
EfficientNet-B0,efficientnet_b0,Run 2 (seed=123),0.3468550929166666,1,0.0,0.1,0,0.0,0.05,0.0
EfficientNet-B0,efficientnet_b0,Run 2 (seed=123),0.3468550929166666,2,0.1,0.2,0,0.0,0.15000000000000002,0.0
EfficientNet-B0,efficientnet_b0,Run 2 (seed=123),0.3468550929166666,3,0.2,0.30000000000000004,0,0.0,0.25,0.0
EfficientNet-B0,efficientnet_b0,Run 2 (seed=123),0.3468550929166666,4,0.30000000000000004,0.4,7,0.42857142857142855,0.35974996428571426,0.06882146428571428
EfficientNet-B0,efficientnet_b0,Run 2 (seed=123),0.3468550929166666,5,0.4,0.5,13,0.9230769230769231,0.4642716715384616,0.4588052515384615
EfficientNet-B0,efficientnet_b0,Run 2 (seed=123),0.3468550929166666,6,0.5,0.6000000000000001,4,1.0,0.5304240725,0.4695759275
EfficientNet-B0,efficientnet_b0,Run 2 (seed=123),0.3468550929166666,7,0.6000000000000001,0.7000000000000001,0,0.0,0.6500000000000001,0.0
EfficientNet-B0,efficientnet_b0,Run 2 (seed=123),0.3468550929166666,8,0.7000000000000001,0.8,0,0.0,0.75,0.0
EfficientNet-B0,efficientnet_b0,Run 2 (seed=123),0.3468550929166666,9,0.8,0.9,0,0.0,0.8500000000000001,0.0
EfficientNet-B0,efficientnet_b0,Run 2 (seed=123),0.3468550929166666,10,0.9,1.0,0,0.0,0.95,0.0
EfficientNet-B0,efficientnet_b0,Run 3 (seed=456),0.2805416945833333,1,0.0,0.1,0,0.0,0.05,0.0
EfficientNet-B0,efficientnet_b0,Run 3 (seed=456),0.2805416945833333,2,0.1,0.2,0,0.0,0.15000000000000002,0.0
EfficientNet-B0,efficientnet_b0,Run 3 (seed=456),0.2805416945833333,3,0.2,0.30000000000000004,6,0.5,0.24347917,0.25652083000000003
EfficientNet-B0,efficientnet_b0,Run 3 (seed=456),0.2805416945833333,4,0.30000000000000004,0.4,3,0.6666666666666666,0.3745333966666667,0.29213326999999994
EfficientNet-B0,efficientnet_b0,Run 3 (seed=456),0.2805416945833333,5,0.4,0.5,3,0.6666666666666666,0.4472519566666667,0.21941470999999996
EfficientNet-B0,efficientnet_b0,Run 3 (seed=456),0.2805416945833333,6,0.5,0.6000000000000001,3,1.0,0.5379528466666667,0.46204715333333335
EfficientNet-B0,efficientnet_b0,Run 3 (seed=456),0.2805416945833333,7,0.6000000000000001,0.7000000000000001,1,1.0,0.6501132,0.34988680000000005
