epoch,train_loss,val_loss,val_auc,sens,spec,f1,composite,ema
1,0.44267693006743986,0.3741014947493871,0.23684210526315788,0.9999999999473684,0.0,0.9047619047619048,0.6354010024878446,-1.3645989975121555
2,0.3094830579745273,0.21331713969508806,0.5,0.8421052631135734,0.2499999999375,0.8421052631578947,0.6677631578698494,-1.3548903508975538
3,0.202070862656304,0.22005458269268274,0.7236842105263158,0.8421052631135734,0.2499999999375,0.8421052631578947,0.7236842105014284,-1.3313179824778592
4,0.18815528688719496,0.17793876553575197,0.763157894736842,0.9999999999473684,0.0,0.9047619047619048,0.7669799498562656,-1.3018286027776216
5,0.1630346541836237,0.1715381241713961,0.7894736842105263,0.8421052631135734,0.499999999875,0.8648648648648649,0.7833214793398485,-0.6762835781423804
6,0.17008429138998812,0.1700145616196096,0.7894736842105263,0.8421052631135734,0.7499999998125,0.8888888888888888,0.8268274853364794,-0.2253502590987224
7,0.1561238612436379,0.1678341751297315,0.8026315789473685,0.8421052631135734,0.499999999875,0.8648648648648649,0.786610953024059,0.07823810453811203
8,0.14545117255571918,0.1822970148641616,0.8157894736842105,0.8947368420581717,0.2499999999375,0.8717948717948718,0.7725539810807557,-0.31346713249909486
9,0.17175937890109103,0.15298730740323663,0.7894736842105263,0.8421052631135734,0.2499999999375,0.8421052631578947,0.740131578922481,-0.5973875190726221
10,0.1477973524524714,0.16089576727245003,0.7236842105263158,0.8421052631135734,0.2499999999375,0.8421052631578947,0.7236842105014284,-0.8010660002004069
11,0.14757737620190406,0.14899203747821352,0.8157894736842105,0.8421052631135734,0.7499999998125,0.8888888888888888,0.8334064327049004,-0.3107242703288146
12,0.1323525109279823,0.1635549293908601,0.8157894736842105,0.8421052631135734,0.7499999998125,0.8888888888888888,0.8334064327049004,0.03251494058129992
13,0.13714392728676708,0.144607501802966,0.8157894736842105,0.8421052631135734,0.7499999998125,0.8888888888888888,0.8334064327049004,0.2727823882183801
14,0.16661096848595966,0.17238636318749437,0.7763157894736842,0.8421052631135734,0.2499999999375,0.8421052631578947,0.7368421052382704,-0.18799969667565286
15,0.14692904648351637,0.15100482323517403,0.8157894736842105,0.8421052631135734,0.7499999998125,0.8888888888888888,0.8334064327049004,0.11842214213851315
16,0.15252863327380814,0.1576929830092316,0.7894736842105263,0.8421052631135734,0.2499999999375,0.8421052631578947,0.740131578922481,-0.29506502682629654
17,0.1475058172812472,0.15080560598289594,0.7894736842105263,0.8421052631135734,0.2499999999375,0.8421052631578947,0.740131578922481,-0.5845060451016633
18,0.15233045806962764,0.157037598954048,0.8157894736842105,0.8947368420581717,0.499999999875,0.8947368421052632,0.8157894736489785,-0.16441738947647072
19,0.1406832285999068,0.1470012716211689,0.8421052631578948,0.8947368420581717,0.499999999875,0.8947368421052632,0.8223684210173995,0.13161835367169034
20,0.13849247179556792,0.15452629137629023,0.8026315789473685,0.8421052631135734,0.499999999875,0.8648648648648649,0.786610953024059,0.32811613347740093
21,0.15015089896769496,0.16635625596002987,0.7894736842105263,0.8421052631135734,0.2499999999375,0.8421052631578947,0.740131578922481,-0.14827923288907507
22,0.1473212213992762,0.16179923177696764,0.7763157894736842,0.9999999999473684,0.0,0.9047619047619048,0.7702694235404761,-0.4727146359602097
23,0.13092903794313315,0.1647536709982281,0.7894736842105263,0.9999999999473684,0.0,0.9047619047619048,0.7735588972246867,-0.6988325760047407
24,0.1437804643137497,0.18109987260928997,0.7894736842105263,0.9999999999473684,0.0,0.9047619047619048,0.7735588972246867,-0.8571151340359124
25,0.1298097657794036,0.1818399321831142,0.763157894736842,0.9999999999473684,0.0,0.9047619047619048,0.7669799498562656,-0.969886608868259
26,0.13953271641184983,0.17851567780598998,0.8026315789473684,0.9473684210027701,0.2499999999375,0.9,0.7947368420784365,-1.0404995735842504
27,0.13585036062431755,0.1620867948901529,0.7894736842105263,0.8421052631135734,0.499999999875,0.8648648648648649,0.7833214793398485,-0.4933532577070207
